away-draws,away-goals,away-losses,away-opposition-goals,away-opposition-shots,away-opposition-shots-on-target,away-shots,away-shots-on-target,away-wins,home-draws,home-goals,home-losses,home-opposition-goals,home-opposition-shots,home-opposition-shots-on-target,home-shots,home-shots-on-target,home-wins,odds-away,odds-draw,odds-home,result
2,17,2,12,115,43,115,48,6,0,31,1,7,114,31,191,84,9,10.0,6.0,1.29,H
2,12,4,14,151,48,99,35,4,3,6,4,13,110,41,107,41,3,3.6,3.25,2.15,H
0,28,1,7,114,28,189,77,9,0,23,2,9,79,27,90,39,8,2.45,3.4,2.88,H
2,10,4,12,109,50,107,47,4,4,6,5,12,118,43,114,27,1,2.3,3.1,3.4,H
1,3,8,12,103,40,144,44,1,4,9,3,12,155,51,111,35,3,2.9,3.25,2.5,D
5,8,4,16,94,37,118,35,1,2,20,1,7,131,40,136,55,7,11.0,5.25,1.3,H
1,32,1,6,61,22,156,61,8,2,11,5,14,101,43,109,40,3,1.33,5.25,9.0,A
1,9,6,19,157,71,102,30,3,3,8,4,13,141,47,100,32,3,3.5,3.1,2.25,A
2,15,3,10,117,40,115,44,5,0,16,5,19,127,47,104,41,5,2.63,3.2,2.8,A
1,17,3,13,113,42,115,45,6,3,8,6,15,141,45,100,39,1,2.05,3.3,3.8,H
0,8,6,14,113,41,136,41,4,2,8,6,20,126,47,109,42,2,2.8,3.2,2.6,H
4,10,3,13,156,50,101,33,3,0,11,6,20,147,67,107,31,4,3.0,3.2,2.45,D
2,10,6,18,112,51,115,41,2,4,8,5,18,100,42,105,27,1,2.63,3.1,2.9,D
0,16,5,18,131,47,105,41,5,2,10,4,13,109,51,107,49,4,3.75,3.3,2.1,A
2,8,4,13,97,38,111,42,4,0,24,2,11,121,34,174,70,8,21.0,13.0,1.08,H
2,7,5,13,132,43,104,36,3,1,17,3,10,115,40,122,47,6,9.0,5.0,1.36,H
4,8,5,12,105,40,115,28,1,1,32,1,7,74,28,159,62,8,34.0,15.0,1.05,H
0,24,2,8,79,27,96,42,8,2,4,7,12,101,40,142,43,1,2.1,3.25,3.8,H
3,9,5,14,140,43,103,42,2,2,16,2,9,116,38,111,43,6,7.5,4.5,1.44,H
2,20,1,6,127,38,135,57,7,0,7,7,16,117,42,138,41,3,2.2,3.4,3.3,H
1,8,6,18,127,47,110,41,3,2,12,4,12,147,45,93,35,4,3.8,3.1,2.15,A
0,16,5,17,132,49,101,39,5,3,8,5,13,145,43,99,36,2,3.25,3.1,2.4,H
1,13,5,21,143,66,105,34,4,0,22,3,10,90,29,97,43,7,15.0,6.5,1.2,H
2,9,4,13,94,44,112,47,4,1,36,1,7,67,25,170,71,8,21.0,10.0,1.11,A
2,17,1,8,119,38,112,42,7,2,7,5,14,140,42,103,37,3,1.95,3.25,4.33,A
2,6,6,11,103,43,127,37,2,2,8,4,13,105,40,123,45,4,2.3,3.2,3.3,A
0,8,7,16,115,43,140,44,3,3,8,6,17,109,48,117,38,1,4.2,3.5,1.91,H
0,24,2,10,124,31,170,67,8,1,9,5,15,133,46,103,38,4,1.18,7.0,17.0,A
1,15,3,9,116,39,127,45,6,5,9,3,15,152,49,96,28,2,2.5,3.3,2.9,H
2,11,5,13,124,38,103,40,3,2,18,2,8,129,43,134,52,6,9.0,4.75,1.36,H
5,7,4,13,97,34,107,27,1,4,7,5,15,113,46,104,26,1,3.4,3.1,2.3,H
2,7,6,16,142,46,107,38,2,0,16,5,14,127,46,109,44,5,6.5,3.8,1.57,H
2,8,4,14,105,42,123,43,4,1,11,5,19,135,64,100,32,4,3.4,3.2,2.25,D
1,31,2,7,75,26,166,69,7,4,7,5,14,97,37,108,29,1,1.17,7.5,17.0,A
2,9,5,13,140,47,104,39,3,2,9,4,13,91,43,115,47,4,5.0,3.6,1.75,H
3,8,5,15,118,49,97,27,2,0,8,7,16,123,43,134,42,3,5.5,3.75,1.67,H
3,9,5,16,107,46,121,41,2,2,6,6,12,131,41,96,33,2,2.38,3.1,3.25,A
2,15,2,8,127,42,131,49,6,0,23,2,10,119,32,167,61,8,13.0,7.0,1.2,D
0,23,3,10,91,29,102,46,7,1,17,4,13,122,44,133,44,5,2.45,3.2,3.0,D
5,13,2,14,145,45,101,34,3,1,18,1,8,121,40,120,48,8,6.0,4.0,1.57,H
1,9,5,15,146,48,99,38,4,2,8,5,8,97,36,126,42,3,7.0,4.2,1.5,D
1,6,7,13,128,47,96,33,2,2,10,6,19,118,52,95,27,2,4.0,3.3,2.05,H
1,20,2,10,112,33,177,60,7,2,9,5,15,99,44,122,44,3,1.44,4.75,7.0,H
2,10,4,15,145,65,94,32,4,2,10,4,15,142,50,96,35,4,3.8,3.4,2.05,H
2,11,4,15,87,41,119,49,4,4,7,5,15,101,42,111,27,1,2.6,3.2,2.9,H
1,17,4,13,125,44,130,46,5,3,7,4,14,105,41,133,49,3,2.05,3.4,3.8,A
1,17,1,8,110,36,125,45,8,1,23,2,9,97,29,100,46,7,6.0,3.75,1.62,D
0,12,6,15,119,40,128,45,4,0,34,2,8,81,28,159,76,8,34.0,15.0,1.05,H
0,15,5,13,136,44,109,44,5,4,12,3,15,152,43,95,30,3,3.4,3.3,2.2,H
3,9,4,8,92,33,123,39,3,3,15,2,9,141,47,133,49,5,4.0,3.5,1.95,H
1,11,6,16,133,51,110,43,3,1,7,7,17,142,47,110,38,2,3.2,3.1,2.4,A
3,10,4,15,101,38,138,52,3,2,17,1,9,110,37,118,43,7,8.0,4.5,1.44,H
2,9,4,11,107,42,124,44,4,3,10,4,11,100,39,117,39,3,3.6,3.4,2.1,A
